,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_neighbors,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,2.660519337654114,34.30875556468963,0.7481942280913766,0.7693096295525876,13,{'n_neighbors': 13},6,0.7557603686635943,0.7710965133906013,0.807017543859649,0.7654822335025382,0.7373271889400922,0.7733467945482079,0.708133971291866,0.7717884130982366,0.7431192660550459,0.7724974721941356,0.7592592592592593,0.7665822784810126,0.7636363636363637,0.7647058823529412,0.7706422018348623,0.7663456664977192,0.6952380952380953,0.7782805429864253,0.7417840375586855,0.762970498474059,0.354704812566361,0.7252896757856647,0.02996160105902588,0.004566477898276508
11,2.374918055534363,33.84428482055664,0.731306835230424,0.7505857041831857,14,{'n_neighbors': 14},13,0.7264150943396226,0.7512846865364852,0.789237668161435,0.7463768115942029,0.7196261682242991,0.7521895929933025,0.6956521739130435,0.7507692307692309,0.7289719626168225,0.7539804827940421,0.7476635514018691,0.7480680061823802,0.7407407407407407,0.7479338842975207,0.7452830188679245,0.7494845360824742,0.6956521739130436,0.7562852744997435,0.7238095238095237,0.7494845360824742,0.7676868690894485,1.4090822031261427,0.025833069948790824,0.002839281817471685
12,2.081929922103882,34.225174856185916,0.7415885567693518,0.7626577229946372,15,{'n_neighbors': 15},7,0.7441860465116278,0.7672064777327934,0.8,0.7606924643584521,0.7431192660550459,0.7604485219164119,0.708133971291866,0.7645569620253165,0.7373271889400922,0.761079979623026,0.7534883720930233,0.7591836734693878,0.7465437788018434,0.7613231552162849,0.7452830188679245,0.7620988283239938,0.701923076923077,0.768762677484787,0.7358490566037735,0.7612244897959184,0.8489443035076546,3.2426890213880912,0.025190301076370467,0.002983579140258139
13,2.0989806175231935,33.61363830566406,0.727606006397841,0.7458605127543051,16,{'n_neighbors': 16},17,0.7142857142857143,0.7479338842975207,0.7727272727272728,0.7402799377916018,0.7136150234741784,0.7493540051679587,0.6893203883495146,0.7478081485301702,0.7289719626168225,0.7428867046042421,0.7476635514018691,0.7471620227038185,0.7348837209302326,0.7452196382428941,0.7393364928909952,0.7472868217054264,0.701923076923077,0.7483204134366925,0.7333333333333334,0.7423535510627269,0.7993449567092583,1.2837452228660553,0.022721872644710036,0.0028770104784158683
14,2.5887322187423707,34.41554274559021,0.7412077356448117,0.7562946260042133,17,{'n_neighbors': 17},8,0.7323943661971831,0.7593254982115484,0.7911111111111112,0.7540983606557375,0.7488584474885845,0.7567844342037892,0.708133971291866,0.7599186164801628,0.7339449541284403,0.7547363031233999,0.7534883720930233,0.7526881720430108,0.7465437788018434,0.7520491803278688,0.7417840375586855,0.7551229508196721,0.7081339712918661,0.7643765903307889,0.7476635514018691,0.7538461538461538,0.5314398790744828,0.9649656826640397,0.022559246210252307,0.0036541437061107782
15,2.2522757768630983,32.94617736339569,0.7274375215956355,0.7423207826646385,18,{'n_neighbors': 18},18,0.7238095238095238,0.7461139896373057,0.780269058295964,0.7357998957790515,0.7196261682242991,0.7431240269849506,0.6893203883495146,0.7460072127769192,0.7230046948356809,0.7426204039357845,0.7476635514018691,0.7419689119170985,0.7407407407407407,0.7409326424870467,0.7272727272727273,0.7433903576982893,0.6893203883495146,0.7420861442656981,0.7333333333333334,0.7411642411642412,0.5140531111852094,1.666090182437154,0.025322801349493818,0.002753588687108245
16,2.5831888198852537,34.21546080112457,0.7343054771448868,0.7500732834346185,19,{'n_neighbors': 19},9,0.7298578199052133,0.7505133470225872,0.7857142857142858,0.7493566649511064,0.7314814814814816,0.7492260061919503,0.701923076923077,0.7529411764705882,0.7348837209302325,0.7480680061823802,0.7476635514018691,0.7489711934156379,0.7407407407407407,0.7515400410677618,0.7417840375586855,0.7469135802469136,0.6956521739130436,0.7538461538461538,0.7333333333333334,0.7493566649511066,0.23335184560134398,1.5258444875535064,0.023433108596898372,0.0020437422013131106
17,1.985483980178833,34.29272928237915,0.724099511270286,0.7378361860805918,20,{'n_neighbors': 20},21,0.7177033492822966,0.7381572097865695,0.7636363636363637,0.7342036553524804,0.7169811320754718,0.741280583029672,0.6893203883495146,0.7384295371814872,0.7230046948356809,0.7389265242313704,0.7511737089201878,0.7402799377916018,0.7289719626168224,0.7394695787831513,0.7272727272727273,0.7348643006263049,0.6956521739130436,0.7372262773722628,0.7272727272727273,0.7355242566510172,0.807245062960308,7.615576152395319,0.021099815968742493,0.002233654236544976
18,2.154036593437195,34.1888680934906,0.7289347418645541,0.7451683580959368,21,{'n_neighbors': 21},15,0.7177033492822966,0.7458677685950412,0.7747747747747746,0.7406639004149378,0.7169811320754718,0.7457276022786121,0.6859903381642511,0.7466529351184347,0.7289719626168225,0.7472868217054264,0.7570093457943925,0.743946419371458,0.7373271889400922,0.7452196382428941,0.7476635514018691,0.7421188630490956,0.6956521739130436,0.7471620227038185,0.7272727272727273,0.7470376094796496,0.42166573125555357,1.0193220516021597,0.025563519043702066,0.0021458776374080387
19,2.4382526874542236,34.15240213871002,0.7214844435523391,0.7340824615761185,22,{'n_neighbors': 22},22,0.7053140096618358,0.7361835245046925,0.7636363636363637,0.7315541601255887,0.7109004739336492,0.7369519832985387,0.6796116504854368,0.7383177570093458,0.7230046948356809,0.7319371727748691,0.7511737089201878,0.734927234927235,0.7348837209302326,0.7302252488213723,0.7358490566037735,0.731937172774869,0.6893203883495146,0.735248041775457,0.7211538461538463,0.7335423197492164,0.61673907217465,1.2436960270199142,0.024916454676356944,0.0025184369498294184
20,2.832770037651062,33.69358084201813,0.7288363609926752,0.739563892801909,23,{'n_neighbors': 23},16,0.7115384615384616,0.7419689119170984,0.780269058295964,0.7360749609578345,0.7230046948356809,0.7403946002076843,0.6859903381642511,0.7460072127769192,0.7348837209302325,0.7371160853722021,0.7511737089201878,0.7371695178849144,0.7431192660550459,0.7356919875130072,0.7417840375586855,0.7392431311560395,0.6893203883495146,0.743271221532091,0.7272727272727273,0.7387012987012987,0.2919625677484387,1.739921776721769,0.026992936276062536,0.00318544966061601
21,2.609306263923645,33.64128897190094,0.7198044994091278,0.7290028641997511,24,{'n_neighbors': 24},23,0.6990291262135923,0.7312729177579885,0.7782805429864253,0.7259337190952131,0.7109004739336492,0.7308900523560211,0.6600985221674878,0.7338204592901878,0.7230046948356809,0.7266035751840169,0.7393364928909952,0.7293625914315569,0.7500000000000001,0.7269857969489742,0.7393364928909952,0.7258403361344538,0.6893203883495146,0.7304256437204415,0.7087378640776699,0.7288935500786575,0.4308142665198381,0.7777640720868719,0.03198920144743405,0.0025166621363302537
22,2.6474684953689573,33.3355211019516,0.7249153035594667,0.735815630855028,25,{'n_neighbors': 25},20,0.7053140096618358,0.7403946002076843,0.780269058295964,0.7300261096605745,0.7109004739336492,0.7364583333333333,0.6796116504854368,0.7394002068252328,0.7289719626168225,0.7340980187695516,0.7452830188679245,0.734269370774831,0.7465437788018434,0.7314524555903867,0.7417840375586855,0.7341640706126686,0.6893203883495146,0.7418181818181818,0.7211538461538463,0.7360749609578345,0.28481981042815785,1.4449951171048272,0.028570800433714107,0.0036187248950254186
23,2.8563584089279175,34.89143333435059,0.7140537384967693,0.7277321988649694,26,{'n_neighbors': 26},26,0.6990291262135923,0.7336473050758765,0.7727272727272728,0.7218997361477574,0.7047619047619047,0.7299423177766124,0.6600985221674878,0.7311715481171549,0.7169811320754718,0.7246835443037974,0.7272727272727273,0.7286983795086253,0.7441860465116279,0.7268907563025211,0.7238095238095237,0.7237394957983194,0.6829268292682927,0.729758149316509,0.7087378640776699,0.7268907563025211,0.2918170323130913,0.936854584340061,0.029750008921000746,0.003426512156230438
24,2.7089385986328125,34.16445119380951,0.7177060854431919,0.7323202399297395,27,{'n_neighbors': 27},25,0.7053140096618358,0.7384295371814872,0.7782805429864253,0.7282266526757608,0.7075471698113207,0.7351407716371219,0.6731707317073171,0.7372793354101765,0.7169811320754718,0.7267960146827478,0.7238095238095237,0.7336108220603538,0.7441860465116279,0.7307893361212755,0.7298578199052133,0.7272727272727273,0.6829268292682927,0.7335423197492164,0.714975845410628,0.7321148825065275,0.3819000781315446,1.457284360336725,0.02830964023828789,0.0038492644060633113
25,2.801619553565979,34.76289267539978,0.7118365610368232,0.7239828029095884,28,{'n_neighbors': 28},27,0.6926829268292682,0.725552050473186,0.7782805429864253,0.7164811870694223,0.6952380952380952,0.7256450763559769,0.6600985221674878,0.7285115303983228,0.7047619047619047,0.7224855186940495,0.7238095238095237,0.722017866526537,0.7383177570093458,0.7225738396624474,0.7272727272727273,0.7223974763406941,0.6829268292682927,0.7272727272727273,0.714975845410628,0.7268907563025211,0.4745018800784408,0.8825634247617453,0.031167935939480154,0.00334500182109212
26,2.47570858001709,34.130997228622434,0.7187765774354874,0.7286763767151223,29,{'n_neighbors': 29},24,0.7177033492822966,0.7310704960835509,0.7767857142857142,0.7235387045813586,0.7014218009478673,0.7275590551181103,0.6666666666666667,0.7321148825065275,0.7169811320754718,0.7270822420115244,0.7298578199052133,0.7272727272727273,0.7441860465116279,0.7305075876504448,0.7298578199052133,0.7277486910994766,0.6893203883495146,0.7301255230125524,0.714975845410628,0.7297438578149503,0.7763641613402379,1.9896995321737059,0.028566922857219294,0.0023909032670589225
